identifier,from,to,library,link,contents,schema,schema-location,anthol-lat-485c,anthol-lat-668,anthol-lat-719c,anthol-lat-806,suetonius-vita,ps-vacca-vita,prose-argumentum,scholia
Ms. 4.b.9,1401,1500,National Library of South Africa,https://w3id.org/vhmml/readingRoom/view/81016,,,,,,,,,,,
"Padova, Biblioteca Antoniana, 13",1201,1300,Biblioteca Antoniana,,,,,,,,,,,,
Cod. 83,1451,1475,"Padova, Biblioteca del Seminario vescovile",,fragments,,,,,,,,,,
Cod. 133,1351,1400,"Padova, Biblioteca del Seminario vescovile",,,,,,,,,,,,
"Treviso, Biblioteca comunale, 152",1396,1396,"Treviso, Biblioteca comunale",,,,,,,,,,,,
"Treviso, Biblioteca comunale, 1607",1371,1380,"Treviso, Biblioteca comunale",,,,,,,,,,,,
Wcovich Lazzari 64.2,1401,1500,"Venezia, Biblioteca del Museo Correr",,,,,,,,,,,,
Beinecke MS 673,1001,1200,Beinecke Rare Book and Manuscript Library,https://collections.library.yale.edu/catalog/9998945,,yes,21v,,yes,,,,,,yes
Marston MS 29,1402,1402,Beinecke Rare Book and Manuscript Library,https://collections.library.yale.edu/catalog/11007528,,,,,yes,,,,,yes? (book 3),yes
Beinecke MS 332,1200,1225,Beinecke Rare Book and Manuscript Library,https://collections.library.yale.edu/catalog/10269850,,,,,,,,,,,
Beinecke MS 1005,1300,1500,Beinecke Rare Book and Manuscript Library,https://collections.library.yale.edu/catalog/10621932,,,,,,,,,,,
Beinecke MS 790,1300,1400,Beinecke Rare Book and Manuscript Library,https://collections.library.yale.edu/catalog/10950385,,,,,,,,,,,
